"periodo";"nivel_general_aperturas";"indice_icc";"Clasificador"
"2024-02-01";"Instalacion sanitaria y contraincendio";1007.50903482439;"Ítems"
"2024-02-01";"Instalacion de gas";956.563054941778;"Ítems"
"2024-02-01";"Instalacion electrica";779.210387257492;"Ítems"
"2024-02-01";"Carpinteria metalica y herreria";807.14025075533;"Ítems"
"2024-02-01";"Carpinteria de madera";941.690544412607;"Ítems"
"2024-02-01";"Ascensores";1049.69818403165;"Ítems"
"2024-02-01";"Vidrios";958.214786811131;"Ítems"
"2024-02-01";"Pintura";766.586301051531;"Ítems"
"2024-02-01";"Otros trabajos y gastos";821.899773768559;"Ítems"
"2024-03-01";"Movimiento de tierras";719.750281779797;"Ítems"
"2024-03-01";"Estructura";742.575346988184;"Ítems"
"2024-03-01";"Albanileria";703.960164691285;"Ítems"
"2024-03-01";"Yeseria";833.3225101836;"Ítems"
"2024-03-01";"Instalacion sanitaria y contraincendio";1063.08002745594;"Ítems"
"2024-03-01";"Instalacion de gas";978.415052393282;"Ítems"
"2024-03-01";"Instalacion electrica";807.412999169623;"Ítems"
"2024-03-01";"Carpinteria metalica y herreria";856.387838804314;"Ítems"
"2024-03-01";"Carpinteria de madera";1004.47516349876;"Ítems"
"2024-03-01";"Ascensores";1131.50045652836;"Ítems"
"2024-03-01";"Vidrios";1051.99547899291;"Ítems"
"2024-03-01";"Pintura";836.572648579562;"Ítems"
"2024-03-01";"Otros trabajos y gastos";866.469268645083;"Ítems"
"2024-04-01";"Movimiento de tierras";804.861212499926;"Ítems"
"2024-04-01";"Estructura";770.722313162854;"Ítems"
"2024-04-01";"Albanileria";744.165303639484;"Ítems"
"2024-04-01";"Yeseria";938.089615679792;"Ítems"
"2024-04-01";"Instalacion sanitaria y contraincendio";1096.31164148494;"Ítems"
"2024-04-01";"Instalacion de gas";1004.4219116431;"Ítems"
"2024-04-01";"Instalacion electrica";824.589529704838;"Ítems"
"2024-04-01";"Carpinteria metalica y herreria";854.268532979142;"Ítems"
"2024-04-01";"Carpinteria de madera";1042.39484678143;"Ítems"
"2024-04-01";"Ascensores";1195.22674241656;"Ítems"
"2024-04-01";"Vidrios";1070.54427469016;"Ítems"
"2024-04-01";"Pintura";878.511880555394;"Ítems"
"2024-04-01";"Otros trabajos y gastos";940.119959696584;"Ítems"
"2024-05-01";"Movimiento de tierras";851.808938697563;"Ítems"
"2024-05-01";"Estructura";884.764158080801;"Ítems"
"2024-05-01";"Albanileria";882.906430533958;"Ítems"
"2024-05-01";"Yeseria";992.83901056733;"Ítems"
"2024-05-01";"Instalacion sanitaria y contraincendio";1097.71090215926;"Ítems"
"2024-05-01";"Instalacion de gas";1005.18781602028;"Ítems"
"2024-05-01";"Instalacion electrica";878.213935230618;"Ítems"
"2024-05-01";"Carpinteria metalica y herreria";866.369886007035;"Ítems"
"2024-05-01";"Carpinteria de madera";1066.75561582712;"Ítems"
"2024-05-01";"Ascensores";1260.35558486355;"Ítems"
"2024-05-01";"Vidrios";1082.3476108816;"Ítems"
"2024-05-01";"Pintura";924.398710277116;"Ítems"
"2024-05-01";"Otros trabajos y gastos";1063.28301743313;"Ítems"
"2024-06-01";"Movimiento de tierras";897.754521616744;"Ítems"
"2024-06-01";"Estructura";907.509938511906;"Ítems"
"2024-06-01";"Albanileria";912.811918363401;"Ítems"
"2024-06-01";"Yeseria";1050.487041738;"Ítems"
"2024-06-01";"Instalacion sanitaria y contraincendio";1124.20009758437;"Ítems"
"2024-06-01";"Instalacion de gas";1041.67875394814;"Ítems"
"2024-06-01";"Instalacion electrica";915.902657205404;"Ítems"
"2024-06-01";"Carpinteria metalica y herreria";875.933034606571;"Ítems"
"2024-06-01";"Carpinteria de madera";1075.49268356701;"Ítems"
"2024-06-01";"Ascensores";1324.61955970376;"Ítems"
"2024-06-01";"Vidrios";1118.38607841609;"Ítems"
"2024-06-01";"Pintura";958.654795793877;"Ítems"
"2024-06-01";"Otros trabajos y gastos";1120.59181384384;"Ítems"
"2024-07-01";"Movimiento de tierras";917.855203144253;"Ítems"
"2024-07-01";"Estructura";915.427046508109;"Ítems"
"2024-07-01";"Albanileria";920.889365165054;"Ítems"
"2024-07-01";"Yeseria";1060.23673180235;"Ítems"
"2024-07-01";"Instalacion sanitaria y contraincendio";1157.14805534192;"Ítems"
"2024-07-01";"Instalacion de gas";1075.63746289092;"Ítems"
"2024-07-01";"Instalacion electrica";941.55657884804;"Ítems"
"2024-07-01";"Carpinteria metalica y herreria";906.829360851225;"Ítems"
"2024-07-01";"Carpinteria de madera";1116.5554802161;"Ítems"
"2024-07-01";"Ascensores";1373.7496195597;"Ítems"
"2024-07-01";"Vidrios";1121.44945046379;"Ítems"
"2024-07-01";"Pintura";998.668157787719;"Ítems"
"2024-07-01";"Otros trabajos y gastos";1139.62757362027;"Ítems"
"2024-08-01";"Movimiento de tierras";944.36177605952;"Ítems"
"2024-08-01";"Estructura";923.318706411544;"Ítems"
"2024-08-01";"Albanileria";929.437358493606;"Ítems"
"2024-08-01";"Yeseria";1063.49548379479;"Ítems"
"2024-08-01";"Instalacion sanitaria y contraincendio";1179.19550781088;"Ítems"
"2024-08-01";"Instalacion de gas";1122.26816142282;"Ítems"
"2024-08-01";"Instalacion electrica";947.263531365592;"Ítems"
"2024-08-01";"Carpinteria metalica y herreria";934.159940449257;"Ítems"
"2024-08-01";"Carpinteria de madera";1162.1481222249;"Ítems"
"2024-08-01";"Ascensores";1413.93425991681;"Ítems"
"2024-08-01";"Vidrios";1155.89192454595;"Ítems"
"2024-08-01";"Pintura";1014.92476616511;"Ítems"
"2024-08-01";"Otros trabajos y gastos";1174.10125282789;"Ítems"
"2024-09-01";"Movimiento de tierras";1032.28466475504;"Ítems"
"2024-09-01";"Estructura";972.339298733098;"Ítems"
"2024-09-01";"Albanileria";988.689963016977;"Ítems"
"2024-09-01";"Yeseria";1089.96694019718;"Ítems"
"2024-09-01";"Instalacion sanitaria y contraincendio";1198.59412343596;"Ítems"
"2024-09-01";"Instalacion de gas";1139.16008079275;"Ítems"
"2024-09-01";"Instalacion electrica";969.368536272363;"Ítems"
"2024-09-01";"Carpinteria metalica y herreria";938.893348707544;"Ítems"
